Date,Team,Acquired,Relinquished,Notes
2000-02-20,Warriors,,Antawn Jamison,strained left knee (DNP)
2000-02-21,Cavaliers,,Brevin Knight,tendinitis in right quadriceps (DNP)
2000-02-21,Celtics,,Calbert Cheaney,personal reasons (DNP)
2000-02-21,Clippers,,Eric Murdock,sore left ankle (DNP)
2000-02-21,Kings,,Lawrence Funderburke,Achilles tendinitis (DNP)
2000-02-21,Kings,,Nick Anderson,flu (DNP)
2000-02-21,Mavericks,,Shawn Bradley,blurred vision (DNP)
2000-02-21,Pacers,,Jeff Foster,placed on IL with strained lower back
2000-02-21,Pacers,,Rik Smits,sore lower back (DNP)
2000-02-21,Pacers,Al Harrington,,activated from IL
2000-02-21,Spurs,,Tim Duncan,abdominal strain (DTD)
2000-02-22,Heat,,Rodney Buford,placed on IL with right knee tendinitis
Date,Team,Acquired,Relinquished,Notes
2000-02-22,Hornets,,Brad Miller,torn cartilage in left knee (out 6 weeks)
2000-02-22,Suns,,Luc Longley,flu (DNP)
2000-02-22,Timberwolves,,Sam Mitchell,sprained left ankle (DNP)
2000-02-22,Warriors,,Antawn Jamison,exploratory arthroscopic surgery on left knee (out for season)
2000-02-23,76ers,,Nazr Mohammed,placed on IL with strained lower back
2000-02-23,Cavaliers,,Bob Sura,sprained right big toe (DNP)
2000-02-23,Cavaliers,,Brevin Knight,tendinitis in right quadriceps (DNP)
2000-02-23,Clippers,,Michael Olowokandi,sore left knee (DNP)
2000-02-23,Hawks,,Lorenzen Wright,bruised right cornea (DNP)
2000-02-23,Hornets,,Brad Miller,placed on IL with torn meniscus cartilage in left knee
2000-02-23,Hornets,Eldridge Recasner,,activated from IL
2000-02-23,Kings,,Lawrence Funderburke,bilateral Achilles tendinitis (DNP)
2000-02-23,Raptors,,Michael Stewart,placed on IL
2000-02-23,Raptors,Dee Brown (a),,activated from IL
2000-02-23,Warriors,,Larry Hughes,sprained left ankle (DNP)
2000-02-23,Wizards,,Michael Smith (John) (Providence),placed on IR with torn MCL in right elbow
2000-02-23,Wizards,Gerard King,,activated from IL
2000-02-23,Heat,Rex Walters,,activated from IL
2000-02-24,Bulls,Fred Hoiberg,,activated from IL
2000-02-24,Celtics,,Calbert Cheaney,personal reasons (DNP)
2000-02-24,Clippers,,Michael Olowokandi,sore left knee (DNP)
2000-02-24,Heat,,Otis Thorpe,placed on IL with left knee inflammation
2000-02-24,Hornets,,Brad Miller,surgery on left knee to repair torn meniscus cartilage (date approximate)
